userId,userName,problemId,submitTime,balloonStatus
640088760,牛客640088760号,I,2025-04-16 20:40:55,given
423420588,牛客423420588号,B,2025-04-16 20:19:56,given
423420588,牛客423420588号,A,2025-04-16 20:09:29,given
575071087,JXXXY,L,2025-04-16 20:08:42,given
424648836,1111_111,L,2025-04-16 19:28:55,given
32791868,Fly_zyf,L,2025-04-16 19:25:39,given
575071087,JXXXY,G,2025-04-16 19:24:14,given
424648836,1111_111,G,2025-04-16 19:16:19,given
861414428,夜落衣,K,2025-04-16 18:51:51,given
424648836,1111_111,A,2025-04-16 18:51:01,given
265418235,牛客265418235号,J,2025-04-16 18:38:24,given
575071087,JXXXY,A,2025-04-16 18:08:25,not_given
32791868,Fly_zyf,C,2025-04-16 18:05:12,not_given
424648836,1111_111,D,2025-04-16 17:36:03,not_given
424648836,1111_111,B,2025-04-16 17:31:17,not_given
424648836,1111_111,H,2025-04-16 17:26:06,not_given
299643595,焦梓珈,G,2025-04-16 17:17:12,not_given
424648836,1111_111,K,2025-04-16 17:13:52,not_given
575071087,JXXXY,H,2025-04-16 17:07:56,not_given
50383746,xx_apple,G,2025-04-16 16:53:18,not_given
575071087,JXXXY,K,2025-04-16 16:48:21,not_given
575071087,JXXXY,D,2025-04-16 16:46:06,not_given
575071087,JXXXY,B,2025-04-16 16:43:57,not_given
50383746,xx_apple,D,2025-04-16 16:18:15,not_given
466815109,Celeste_night,G,2025-04-16 16:10:15,not_given
466815109,Celeste_night,C,2025-04-16 16:02:53,not_given
32791868,Fly_zyf,G,2025-04-16 15:25:14,not_given
32791868,Fly_zyf,A,2025-04-16 15:11:09,not_given
466815109,Celeste_night,L,2025-04-16 15:07:49,not_given
364158259,牛客364158259号,B,2025-04-16 14:50:00,not_given
32791868,Fly_zyf,H,2025-04-16 14:43:08,not_given
32791868,Fly_zyf,K,2025-04-16 14:34:41,not_given
32791868,Fly_zyf,D,2025-04-16 14:33:14,not_given
32791868,Fly_zyf,B,2025-04-16 14:30:26,not_given
81290542,牛客81290542号,L,2025-04-16 13:39:40,not_given
318886416,Alasco,J,2025-04-16 12:55:46,not_given
265418235,牛客265418235号,I,2025-04-16 12:46:56,not_given
466815109,Celeste_night,A,2025-04-16 11:47:07,not_given
318886416,Alasco,I,2025-04-16 11:40:35,not_given
466815109,Celeste_night,H,2025-04-16 11:06:14,not_given
466815109,Celeste_night,K,2025-04-16 10:55:26,not_given
466815109,Celeste_night,D,2025-04-16 10:42:01,not_given
